prefix;mask;device;GW;comment
10.47.156.0;24;Outside;10.28.17.65;
10.47.228.128;28;Outside;10.28.17.65;
10.57.228.96;29;Outside;10.28.17.65;
10.67.249.128;25;Outside;10.28.17.65;
10.87.24.72;29;Outside;10.28.17.65;
10.97.25.0;24;Outside;10.28.17.65;
10.37.26.0;24;Outside;10.28.17.65;
10.37.226.208;28;Outside;10.28.17.65;
10.27.226.32;27;Outside;10.28.17.65;
10.47.116.0;27;Outside;10.28.17.65;
10.37.116.224;27;Outside;10.28.17.65;
10.77.248.0;24;Outside;10.28.17.65;
10.87.238.0;27;Outside;10.28.17.65;
10.77.50.0;24;Outside;10.28.17.65;
10.19.52.1;32;Outside;10.28.17.65;
10.48.17.1;32;Outside;10.28.17.65;
10.27.52.0;32;Outside;10.28.17.65;
10.27.52.2;32;Outside;10.28.17.65;
10.47.52.3;32;Outside;10.28.17.65;
